STATION,LATITUDE,LONGITUDE,ELEVATION,DATE,DX32,DX32_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES
USW00012977,29.62194,-95.65667,25.6,2009,0,W,118,W,24,"W,1205,",3.25,",W,0418,",104,"W,0625,",36.86,",W",70.3,W,80.9,W,59.7,W
USW00012977,29.62194,-95.65667,25.6,2010,0,W,109,W,16,"W,0109,",6.01,",W,0702,",99,"W,0816,",49.1,",W",68.3,W,78.4,W,58.3,W
USW00012977,29.62194,-95.65667,25.6,2011,0,W,139,W,20,"W,0202,",2.21,",W,1009,",108,"W,0827,",20.43,",W",71.3,W,82.6,W,59.9,W
USW00012977,29.62194,-95.65667,25.6,2012,0,W,106,W,27,"W,1221,+",6.47,",W,0512,",102,"W,0626,",51.72,",W",71.9,W,82.1,W,61.6,W
USW00012977,29.62194,-95.65667,25.6,2013,0,W,113,W,28,"W,1224,",6.17,",W,0427,",106,"W,0629,",40.09,",W",69.9,W,80.1,W,59.6,W
USW00012977,29.62194,-95.65667,25.6,2014,0,W,103,W,22,"W,0107,",3.27,",W,0528,",98,"W,0822,+",49.13,",W",69.3,W,79.2,W,59.5,W
USW00012977,29.62194,-95.65667,25.6,2015,0,W,111,W,28,"W,0108,",8.04,",W,0525,",104,"W,0811,",74.89,",W",70.4,W,80.1,W,60.7,W
USW00012977,29.62194,-95.65667,25.6,2016,0,W,98,W,29,"W,1219,",7.8,",W,0418,",98,"W,0811,+",57.69,",W",71.2,W,81,W,61.4,W
USW00012977,29.62194,-95.65667,25.6,2017,0,W,122,W,20,"W,0107,",7.13,",W,0828,",100,"W,0729,",74.67,",W",72.8,W,82.8,W,62.8,W
USW00012977,29.62194,-95.65667,25.6,2018,0,W,141,W,19,"W,0117,",4.58,",W,1207,",102,"W,0822,+",50.31,",W",72,W,81.5,W,62.5,W
